Endereço,Produto,Descrição,Qtde,"Cxs Pallet"
2.B.11.3,1701.32.24X500,"LIMP. MULTI USO SUPREMA FRESH-24X500ML",54.0,54
2.C.39.3,1701.30.24X500,"LIMP. MULTI USO SUPREMA TRADICIONAL-24X500ML",54.0,54
2.D.91.1,1301.18.03X05L,"DESINF.SUPREMA LAVANDA BOUQUET 03X05L",42.0,42
2.D.91.2,1201.11.03X05L,"AMAC.SUPREMA-ALEGRES ENCANTO-AZUL-03X05L",42.0,42
2.D.91.4,1301.20.06X02L,"DESINF.SUPREMA OCEANIC - 06X02L",60.0,60
2.D.92.1,1201.11.06X02L,"AMAC.SUPREMA-ALEGRES ENCANTO-AZUL-06X2L",60.0,60
2.D.92.2,1401.21.24X500,"LAVA LOUCAS SUPREMA NATURAL CLEAR-24X500ML",72.0,72
2.D.92.3,6501.02.12X01L,"REMOVEDOR SUPREMA 1 L",70.0,70
2.D.92.4,1401.19.24X500,"LAVA LOUCAS SUPREMA FRUTAS VERMELHAS-24X500ML",72.0,72
2.D.93.4,1501.24.03X05L,"LAVA ROUPAS LIQUIDO SUPREMA AZUL - 03X05L",39.0,39
2.D.94.3,1501.23.03X05L,"LAVA ROUPAS LIQUIDO SUPREMA ULTRA ACAO-03X05L",,39
2.D.94.4,1501.24.03X05L,"LAVA ROUPAS LIQUIDO SUPREMA AZUL - 03X05L",39.0,39
2.D.95.1,1201.11.06X02L,"AMAC.SUPREMA-ALEGRES ENCANTO-AZUL-06X2L",60.0,60
2.D.95.2,1701.30.24X500,"LIMP. MULTI USO SUPREMA TRADICIONAL-24X500ML",54.0,54
2.D.95.3,1501.25.03X05L,"LAVA ROUPAS LIQUIDO SUPREMA COCO - 03X05L",39.0,39
2.D.95.4,6501.02.12X01L,"REMOVEDOR SUPREMA 1 L",70.0,70
2.D.96.1,1301.18.03X05L,"DESINF.SUPREMA LAVANDA BOUQUET 03X05L",42.0,42
2.D.96.2,1501.25.03X05L,"LAVA ROUPAS LIQUIDO SUPREMA COCO - 03X05L",39.0,39
2.D.96.3,1301.19.06X02L,"DESINF.SUPREMA PINHO - 06X02L",60.0,60
2.D.96.4,1201.12.06X02L,"AMAC.SUPREMA-TOQUE DE AMOR-ROSA-06X02L",,60
2.E.3.1,1401.21.24X500,"LAVA LOUCAS SUPREMA NATURAL CLEAR-24X500ML",72.0,72
2.E.3.2,1501.24.06X03LE,"LAVA ROUPAS SUPREMA AZUL - 06X03L EXP",40.0,40
2.E.3.3,1501.25.03X05L,"LAVA ROUPAS LIQUIDO SUPREMA COCO - 03X05L",39.0,39
2.E.3.4,6501.03.12X01L,"REMOVEDOR SUPREMA FLORATA 1 L",70.0,70
2.E.4.2,1701.30.24X500,"LIMP. MULTI USO SUPREMA TRADICIONAL-24X500ML",54.0,54
2.E.4.3,6501.02.12X01L,"REMOVEDOR SUPREMA 1 L",70.0,70
2.E.4.4,1801.02.12X500,"LIMPA VIDROS SUPREMA SQUEEZE - 12X500ML",85.0,85
2.E.5.1,1301.18.03X05L,"DESINF.SUPREMA LAVANDA BOUQUET 03X05L",42.0,42
2.E.5.2,1501.24.03X05L,"LAVA ROUPAS LIQUIDO SUPREMA AZUL - 03X05L",39.0,39
2.E.5.3,6501.02.12X01L,"REMOVEDOR SUPREMA 1 L",70.0,70
2.E.5.4,1401.22.24X500,"LAVA LOUCAS SUPREMA NEUTRO-24X500ML",72.0,72
2.E.6.1,6501.04.12X01L,"REMOVEDOR SUPREMA VERBENA 1 L",70.0,70
2.E.6.2,1401.22.03X05L,"LAVA LOUCAS SUPREMA NEUTRO-03X05L",39.0,39
2.E.6.3,1501.25.03X05L,"LAVA ROUPAS LIQUIDO SUPREMA COCO - 03X05L",39.0,39
2.E.6.4,1301.15.06X02L,"DESINF.SUPREMA EXTRATO DE EUCALIPTO-06X02L",60.0,60
2.E.7.1,1201.11.03X05L,"AMAC.SUPREMA-ALEGRES ENCANTO-AZUL-03X05L",42.0,42
2.E.7.2,1501.24.12X01L,"LAVA ROUPAS LIQUIDO SUPREMA AZUL - 12X01L",60.0,60
2.E.7.3,6501.02.12X01L,"REMOVEDOR SUPREMA 1 L",70.0,70
2.E.7.4,1501.23.03X05L,"LAVA ROUPAS LIQUIDO SUPREMA ULTRA ACAO-03X05L",39.0,39
2.E.8.1,6501.04.12X01L,"REMOVEDOR SUPREMA VERBENA 1 L",70.0,70
2.E.8.2,1301.21.06X02L,"DESINF. SUPREMA CLORADO 06X02L",75.0,75
2.E.8.3,6501.02.12X01L,"REMOVEDOR SUPREMA 1 L",70.0,70
